timeframe,open_time,open,high,low,close,volume
15m,1776867300.0,1.4607,1.4612,1.456,1.4575,2909894.6
15m,1776868200.0,1.4575,1.458,1.4509,1.4514,3506508.0
15m,1776869100.0,1.4514,1.4574,1.4511,1.457,1475775.9
15m,1776870000.0,1.457,1.4577,1.452,1.4535,1981520.9
15m,1776870900.0,1.4535,1.4563,1.4513,1.453,6566415.9
15m,1776871800.0,1.453,1.4566,1.451,1.4553,3326636.6
15m,1776872700.0,1.4553,1.46,1.455,1.4557,2576258.8
15m,1776873600.0,1.4557,1.4581,1.4525,1.4533,2225816.7
15m,1776874500.0,1.4533,1.4538,1.4464,1.4472,3934505.2
15m,1776875400.0,1.4472,1.4489,1.4452,1.4471,2935674.8
15m,1776876300.0,1.4471,1.4488,1.4451,1.446,2216393.5
15m,1776877200.0,1.446,1.4515,1.446,1.4499,1291394.2
15m,1776878100.0,1.4499,1.45,1.4453,1.4467,783487.2
15m,1776879000.0,1.4467,1.4484,1.4433,1.4462,5450741.1
15m,1776879900.0,1.4462,1.4501,1.4446,1.4482,1104510.4
15m,1776880800.0,1.4482,1.4522,1.4482,1.4518,1165126.4
15m,1776881700.0,1.4518,1.4522,1.4498,1.4499,631549.5
15m,1776882600.0,1.4499,1.4502,1.4479,1.4479,410570.1
15m,1776883500.0,1.4479,1.4506,1.4468,1.4469,728772.9
15m,1776884400.0,1.4469,1.4472,1.4404,1.4437,2546737.2
15m,1776885300.0,1.4437,1.4465,1.4432,1.445,935201.4
15m,1776886200.0,1.445,1.4453,1.4361,1.4401,3637720.8
15m,1776887100.0,1.4401,1.4419,1.4392,1.4404,862106.2
15m,1776888000.0,1.4404,1.442,1.4375,1.4375,1758950.2
15m,1776888900.0,1.4375,1.4377,1.4323,1.437,4508869.2
15m,1776889800.0,1.437,1.4379,1.4353,1.4367,1283634.4
15m,1776890700.0,1.4367,1.4373,1.4351,1.4362,696752.6
15m,1776891600.0,1.4362,1.4395,1.436,1.4379,2474066.1
15m,1776892500.0,1.4379,1.4391,1.4372,1.4388,219040.6
15m,1776893400.0,1.4388,1.4403,1.4388,1.44,801083.3
15m,1776894300.0,1.44,1.4407,1.4391,1.4407,283037.5
15m,1776895200.0,1.4407,1.4409,1.4385,1.439,629975.3
15m,1776896100.0,1.439,1.4394,1.4358,1.4362,1020468.6
15m,1776897000.0,1.4362,1.4372,1.435,1.4359,557122.5
15m,1776897900.0,1.4359,1.4374,1.4345,1.4373,601838.2
15m,1776898800.0,1.4373,1.4374,1.4343,1.4351,1047448.9
15m,1776899700.0,1.4351,1.4359,1.4283,1.4322,4425778.1
15m,1776900600.0,1.4322,1.4322,1.4277,1.4292,2308454.3
15m,1776901500.0,1.4292,1.4304,1.428,1.4286,938039.5
