timeframe,open_time,open,high,low,close,volume
1h,1776870000.0,1.457,1.46,1.451,1.4557,14450832.2
1h,1776873600.0,1.4557,1.4581,1.4451,1.446,11312390.2
1h,1776877200.0,1.446,1.4515,1.4433,1.4482,8630132.9
1h,1776880800.0,1.4482,1.4522,1.4468,1.4469,2936018.9
1h,1776884400.0,1.4469,1.4472,1.4361,1.4404,7981765.6
1h,1776888000.0,1.4404,1.442,1.4323,1.4362,8248206.4
1h,1776891600.0,1.4362,1.4407,1.436,1.4407,3777227.5
1h,1776895200.0,1.4407,1.4409,1.4345,1.4373,2809404.6
1h,1776898800.0,1.4373,1.4374,1.4277,1.4286,8719720.8
1h,1776902400.0,1.4286,1.4306,1.415,1.4284,16039782.5
1h,1776906000.0,1.4284,1.429,1.4197,1.425,4814593.9
1h,1776909600.0,1.425,1.4253,1.4143,1.418,7757435.8
1h,1776913200.0,1.418,1.4211,1.4103,1.4152,7645713.9
1h,1776916800.0,1.4152,1.4185,1.4143,1.4164,4904821.4
1h,1776920400.0,1.4164,1.4197,1.4141,1.4189,4967850.5
1h,1776924000.0,1.4189,1.4241,1.4189,1.4228,7639603.1
1h,1776927600.0,1.4228,1.4232,1.4188,1.42,3481192.1
1h,1776931200.0,1.42,1.4203,1.4142,1.4172,4389561.0
1h,1776934800.0,1.4172,1.4178,1.4108,1.414,5388487.5
1h,1776938400.0,1.414,1.4151,1.4075,1.4099,8140898.7
1h,1776942000.0,1.4099,1.4167,1.4099,1.4154,6194013.3
1h,1776945600.0,1.4154,1.4201,1.4143,1.4179,7984987.0
1h,1776949200.0,1.4179,1.4195,1.4134,1.4157,11063486.5
1h,1776952800.0,1.4157,1.4295,1.4133,1.4293,15100315.1
1h,1776956400.0,1.4293,1.4363,1.425,1.4311,9623312.0
1h,1776960000.0,1.4311,1.4328,1.4271,1.4291,8341857.0
1h,1776963600.0,1.4291,1.436,1.4204,1.4345,29637755.0
1h,1776967200.0,1.4345,1.4407,1.4304,1.4304,10872972.6
1h,1776970800.0,1.4304,1.4332,1.4261,1.4288,5995761.0
1h,1776974400.0,1.4288,1.4365,1.4266,1.4323,7282054.4
1h,1776978000.0,1.4323,1.4375,1.4298,1.4326,3439980.5
1h,1776981600.0,1.4326,1.4391,1.4325,1.4353,3270109.0
1h,1776985200.0,1.4353,1.4397,1.4315,1.438,3093030.4
1h,1776988800.0,1.438,1.44,1.4369,1.4398,3587411.3
1h,1776992400.0,1.4398,1.4441,1.4309,1.4436,6610133.4
1h,1776996000.0,1.4436,1.4449,1.436,1.4367,3667258.9
1h,1776999600.0,1.4367,1.438,1.4275,1.4301,4995391.7
1h,1777003200.0,1.4301,1.4303,1.4208,1.4281,19263562.1
1h,1777006800.0,1.4281,1.4327,1.4249,1.4319,5285570.9
1h,1777010400.0,1.4319,1.4325,1.4291,1.4291,3308802.9
1h,1777014000.0,1.4291,1.432,1.4276,1.4319,3291270.9
1h,1777017600.0,1.4319,1.4358,1.4287,1.4307,5348752.9
1h,1777021200.0,1.4307,1.4311,1.424,1.4249,5357178.8
1h,1777024800.0,1.4249,1.432,1.4231,1.4309,4638272.7
1h,1777028400.0,1.4309,1.4398,1.4309,1.4378,10016549.1
1h,1777032000.0,1.4378,1.4411,1.4321,1.4341,6806746.6
1h,1777035600.0,1.4341,1.4438,1.4326,1.435,10936259.5
1h,1777039200.0,1.435,1.4382,1.4272,1.4328,11524845.0
1h,1777042800.0,1.4328,1.4478,1.428,1.4475,14791795.4
1h,1777046400.0,1.4475,1.4501,1.4368,1.4398,7887923.3
1h,1777050000.0,1.4398,1.442,1.435,1.4403,4890148.5
1h,1777053600.0,1.4403,1.4412,1.4328,1.4381,2771014.2
1h,1777057200.0,1.4381,1.4414,1.4358,1.4386,2264315.2
1h,1777060800.0,1.4386,1.4412,1.4339,1.4396,4220491.1
1h,1777064400.0,1.4396,1.4424,1.4359,1.4369,3575844.9
1h,1777068000.0,1.4369,1.4373,1.4284,1.4308,5735824.7
