timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1770481800.0,1.4183,1.428,1.413,1.422,310496.98,0.0,0.0,0
15m,1770482700.0,1.422,1.4242,1.4148,1.4189,368801.7,0.0,0.0,0
15m,1770483600.0,1.4189,1.4223,1.4096,1.4138,277573.64,0.0,0.0,0
15m,1770484500.0,1.4138,1.4263,1.4103,1.4249,502851.64,0.0,0.0,0
15m,1770485400.0,1.4249,1.4302,1.419,1.4232,486722.27,0.0,0.0,0
15m,1770486300.0,1.4232,1.4252,1.4203,1.4245,168228.89,0.0,0.0,0
15m,1770487200.0,1.4245,1.4295,1.424,1.4255,171985.51,0.0,0.0,0
15m,1770488100.0,1.4255,1.4384,1.4255,1.4382,368894.17,0.0,0.0,0
15m,1770489000.0,1.4382,1.4475,1.4355,1.4429,786197.5,0.0,0.0,0
15m,1770489900.0,1.4429,1.4487,1.4396,1.4409,488156.4,0.0,0.0,0
15m,1770490800.0,1.4409,1.4409,1.4319,1.4349,369514.55,0.0,0.0,0
15m,1770491700.0,1.4349,1.44,1.4319,1.4378,159166.57,0.0,0.0,0
15m,1770492600.0,1.4378,1.4378,1.4287,1.4312,187850.59,0.0,0.0,0
15m,1770493500.0,1.4312,1.434,1.4286,1.4308,160368.61,0.0,0.0,0
15m,1770494400.0,1.4308,1.435,1.4293,1.4317,142853.93,0.0,0.0,0
15m,1770495300.0,1.4317,1.435,1.4273,1.434,108620.9,0.0,0.0,0
15m,1770496200.0,1.434,1.4399,1.4313,1.4361,160931.29,0.0,0.0,0
15m,1770497100.0,1.4361,1.4416,1.4325,1.4368,416106.09,0.0,0.0,0
15m,1770498000.0,1.4368,1.439,1.4311,1.4349,144514.59,0.0,0.0,0
15m,1770498900.0,1.4349,1.4378,1.4318,1.4343,171184.57,0.0,0.0,0
15m,1770499800.0,1.4343,1.4372,1.432,1.432,132734.58,0.0,0.0,0
15m,1770500700.0,1.432,1.432,1.4275,1.4291,217342.13,0.0,0.0,0
15m,1770501600.0,1.4291,1.4332,1.4243,1.4285,146444.68,0.0,0.0,0
