timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1740787200.0,2.1459,2.1523,2.1377,2.152,364123.07,0.0,0.0,0
15m,1740788100.0,2.152,2.1562,2.1404,2.141,353767.68,0.0,0.0,0
15m,1740789000.0,2.141,2.1448,2.1313,2.1348,286281.67,0.0,0.0,0
15m,1740789900.0,2.1348,2.1375,2.1215,2.123,310799.14,0.0,0.0,0
15m,1740790800.0,2.123,2.1294,2.1227,2.125,297275.58,0.0,0.0,0
15m,1740791700.0,2.125,2.1337,2.125,2.1277,259036.53,0.0,0.0,0
15m,1740792600.0,2.1277,2.1512,2.1256,2.1511,464830.81,0.0,0.0,0
15m,1740793500.0,2.1511,2.1738,2.1482,2.1688,1266445.65,0.0,0.0,0
15m,1740794400.0,2.1688,2.1765,2.1541,2.1758,728310.51,0.0,0.0,0
15m,1740795300.0,2.1758,2.2089,2.1685,2.202,717795.3,0.0,0.0,0
15m,1740796200.0,2.202,2.217,2.1905,2.2031,1676678.57,0.0,0.0,0
15m,1740797100.0,2.2031,2.2031,2.1837,2.1893,566163.01,0.0,0.0,0
15m,1740798000.0,2.1893,2.1989,2.1856,2.1903,539414.34,0.0,0.0,0
15m,1740798900.0,2.1903,2.1909,2.1809,2.1829,480286.65,0.0,0.0,0
15m,1740799800.0,2.1829,2.1973,2.1805,2.1855,295599.14,0.0,0.0,0
15m,1740800700.0,2.1855,2.1929,2.1828,2.1847,157498.46,0.0,0.0,0
15m,1740801600.0,2.1847,2.2029,2.1831,2.2024,317287.2,0.0,0.0,0
15m,1740802500.0,2.2024,2.2027,2.1959,2.1995,247792.74,0.0,0.0,0
15m,1740803400.0,2.1995,2.211,2.1954,2.2088,815659.46,0.0,0.0,0
15m,1740804300.0,2.2088,2.2197,2.2022,2.212,737294.66,0.0,0.0,0
15m,1740805200.0,2.212,2.213,2.2017,2.2029,829756.55,0.0,0.0,0
15m,1740806100.0,2.2029,2.2079,2.1948,2.202,471218.62,0.0,0.0,0
15m,1740807000.0,2.202,2.2053,2.1925,2.1927,387197.02,0.0,0.0,0
15m,1740807900.0,2.1927,2.1954,2.186,2.1867,255077.53,0.0,0.0,0
15m,1740808800.0,2.1867,2.193,2.1846,2.1884,390558.57,0.0,0.0,0
15m,1740809700.0,2.1884,2.1884,2.1756,2.1779,514611.79,0.0,0.0,0
15m,1740810600.0,2.1779,2.1842,2.172,2.1827,464776.82,0.0,0.0,0
15m,1740811500.0,2.1827,2.1843,2.1767,2.1837,152082.65,0.0,0.0,0
15m,1740812400.0,2.1837,2.1839,2.1747,2.1762,234688.16,0.0,0.0,0
15m,1740813300.0,2.1762,2.1802,2.1709,2.1712,283902.43,0.0,0.0,0
15m,1740814200.0,2.1712,2.1732,2.1629,2.1705,523291.5,0.0,0.0,0
15m,1740815100.0,2.1705,2.1765,2.1667,2.1671,641222.2,0.0,0.0,0
15m,1740816000.0,2.1671,2.1756,2.1671,2.1756,255036.21,0.0,0.0,0
15m,1740816900.0,2.1756,2.1835,2.1747,2.1806,294472.83,0.0,0.0,0
15m,1740817800.0,2.1806,2.1836,2.1717,2.1735,394585.05,0.0,0.0,0
15m,1740818700.0,2.1735,2.1856,2.1733,2.1854,1487541.43,0.0,0.0,0
15m,1740819600.0,2.1854,2.1896,2.1792,2.1845,314880.29,0.0,0.0,0
15m,1740820500.0,2.1845,2.1937,2.1817,2.1895,536794.54,0.0,0.0,0
15m,1740821400.0,2.1895,2.1896,2.1774,2.1784,415267.76,0.0,0.0,0
15m,1740822300.0,2.1784,2.1853,2.1755,2.1837,406706.35,0.0,0.0,0
15m,1740823200.0,2.1837,2.1854,2.1701,2.1758,398221.16,0.0,0.0,0
15m,1740824100.0,2.1758,2.177,2.1578,2.1701,738955.8,0.0,0.0,0
15m,1740825000.0,2.1701,2.171,2.1566,2.1607,564664.08,0.0,0.0,0
15m,1740825900.0,2.1607,2.1629,2.1517,2.1606,597677.42,0.0,0.0,0
15m,1740826800.0,2.1606,2.164,2.146,2.1462,700175.64,0.0,0.0,0
15m,1740827700.0,2.1462,2.1546,2.1413,2.152,662005.6,0.0,0.0,0
15m,1740828600.0,2.152,2.1608,2.1492,2.1586,295913.83,0.0,0.0,0
15m,1740829500.0,2.1586,2.1617,2.1555,2.1606,256004.18,0.0,0.0,0
15m,1740830400.0,2.1606,2.166,2.1569,2.1574,277987.71,0.0,0.0,0
15m,1740831300.0,2.1574,2.1676,2.1522,2.1542,249736.23,0.0,0.0,0
15m,1740832200.0,2.1542,2.1627,2.1515,2.1578,422087.59,0.0,0.0,0
15m,1740833100.0,2.1578,2.1695,2.1578,2.1658,306198.22,0.0,0.0,0
15m,1740834000.0,2.1658,2.1719,2.1542,2.155,355628.91,0.0,0.0,0
15m,1740834900.0,2.155,2.155,2.1428,2.1519,520604.96,0.0,0.0,0
15m,1740835800.0,2.1519,2.1521,2.1324,2.1368,1028048.32,0.0,0.0,0
15m,1740836700.0,2.1368,2.1402,2.1217,2.1401,956855.28,0.0,0.0,0
15m,1740837600.0,2.1401,2.1502,2.1355,2.1404,588758.28,0.0,0.0,0
15m,1740838500.0,2.1404,2.1494,2.1355,2.1436,451178.23,0.0,0.0,0
15m,1740839400.0,2.1436,2.149,2.1377,2.1438,267136.56,0.0,0.0,0
15m,1740840300.0,2.1438,2.1496,2.142,2.1471,341317.52,0.0,0.0,0
15m,1740841200.0,2.1471,2.1587,2.1424,2.1497,370241.21,0.0,0.0,0
15m,1740842100.0,2.1497,2.1535,2.136,2.1465,322581.33,0.0,0.0,0
15m,1740843000.0,2.1465,2.151,2.1391,2.1491,264981.76,0.0,0.0,0
15m,1740843900.0,2.1491,2.1545,2.148,2.1511,203653.58,0.0,0.0,0
15m,1740844800.0,2.1511,2.1611,2.1442,2.1589,284992.89,0.0,0.0,0
15m,1740845700.0,2.1589,2.1633,2.1508,2.1564,205485.61,0.0,0.0,0
15m,1740846600.0,2.1564,2.1573,2.1464,2.1517,349424.84,0.0,0.0,0
15m,1740847500.0,2.1517,2.1593,2.1441,2.1583,316284.56,0.0,0.0,0
15m,1740848400.0,2.1583,2.1593,2.1456,2.1458,265339.71,0.0,0.0,0
15m,1740849300.0,2.1458,2.1517,2.1404,2.1409,492376.75,0.0,0.0,0
15m,1740850200.0,2.1409,2.1472,2.1358,2.1441,213881.07,0.0,0.0,0
15m,1740851100.0,2.1441,2.1512,2.1422,2.1422,104437.63,0.0,0.0,0
15m,1740852000.0,2.1422,2.1487,2.1361,2.144,292679.51,0.0,0.0,0
15m,1740852900.0,2.144,2.1554,2.1435,2.1543,161759.35,0.0,0.0,0
15m,1740853800.0,2.1543,2.1621,2.1527,2.1596,338010.87,0.0,0.0,0
15m,1740854700.0,2.1596,2.1627,2.1557,2.1598,217591.02,0.0,0.0,0
15m,1740855600.0,2.1598,2.1695,2.1576,2.1636,508943.0,0.0,0.0,0
15m,1740856500.0,2.1636,2.1694,2.1601,2.1677,381173.27,0.0,0.0,0
15m,1740857400.0,2.1677,2.1778,2.1664,2.1699,509885.06,0.0,0.0,0
15m,1740858300.0,2.1699,2.1742,2.1676,2.1695,333748.68,0.0,0.0,0
15m,1740859200.0,2.1695,2.1709,2.1604,2.1636,327368.94,0.0,0.0,0
15m,1740860100.0,2.1636,2.1729,2.1603,2.1706,397602.54,0.0,0.0,0
15m,1740861000.0,2.1706,2.1717,2.166,2.1679,173654.4,0.0,0.0,0
15m,1740861900.0,2.1679,2.1721,2.1653,2.1712,246960.72,0.0,0.0,0
15m,1740862800.0,2.1712,2.1755,2.1663,2.1666,215404.59,0.0,0.0,0
15m,1740863700.0,2.1666,2.1721,2.1628,2.1714,236181.99,0.0,0.0,0
15m,1740864600.0,2.1714,2.1823,2.1701,2.1794,371259.57,0.0,0.0,0
15m,1740865500.0,2.1794,2.2025,2.1783,2.1979,1144531.09,0.0,0.0,0
15m,1740866400.0,2.1979,2.2081,2.1931,2.2036,2627469.21,0.0,0.0,0
15m,1740867300.0,2.2036,2.2039,2.1863,2.1943,649295.34,0.0,0.0,0
15m,1740868200.0,2.1943,2.1985,2.1839,2.1974,235865.24,0.0,0.0,0
15m,1740869100.0,2.1974,2.1983,2.1886,2.1913,155721.49,0.0,0.0,0
15m,1740870000.0,2.1913,2.194,2.1793,2.1835,253241.82,0.0,0.0,0
15m,1740870900.0,2.1835,2.1846,2.1763,2.181,155290.34,0.0,0.0,0
15m,1740871800.0,2.181,2.1903,2.181,2.1838,214242.19,0.0,0.0,0
15m,1740872700.0,2.1838,2.1928,2.1829,2.191,139079.02,0.0,0.0,0
15m,1740873600.0,2.191,2.1989,2.1853,2.1877,172434.65,0.0,0.0,0
15m,1740874500.0,2.1877,2.189,2.174,2.1807,376390.42,0.0,0.0,0
15m,1740875400.0,2.1807,2.1997,2.1791,2.1948,244842.56,0.0,0.0,0
15m,1740876300.0,2.1948,2.1992,2.1896,2.1908,187729.3,0.0,0.0,0
15m,1740877200.0,2.1908,2.2089,2.19,2.2079,471064.89,0.0,0.0,0
15m,1740878100.0,2.2079,2.2098,2.1996,2.2024,376672.96,0.0,0.0,0
15m,1740879000.0,2.2024,2.2059,2.1945,2.1989,487347.58,0.0,0.0,0
15m,1740879900.0,2.1989,2.2149,2.1966,2.2149,611251.57,0.0,0.0,0
15m,1740880800.0,2.2149,2.2652,2.2119,2.2545,1668951.83,0.0,0.0,0
15m,1740881700.0,2.2545,2.2553,2.2344,2.2386,682204.16,0.0,0.0,0
15m,1740882600.0,2.2386,2.2412,2.2248,2.2337,591151.1,0.0,0.0,0
15m,1740883500.0,2.2337,2.2582,2.2326,2.2579,489113.58,0.0,0.0,0
15m,1740884400.0,2.2579,2.2677,2.2448,2.2514,361606.53,0.0,0.0,0
15m,1740885300.0,2.2514,2.2589,2.2418,2.245,347746.28,0.0,0.0,0
15m,1740886200.0,2.245,2.2531,2.2391,2.2508,208725.91,0.0,0.0,0
15m,1740887100.0,2.2508,2.2625,2.2493,2.2539,313244.02,0.0,0.0,0
15m,1740888000.0,2.2539,2.2568,2.2488,2.2558,280453.58,0.0,0.0,0
15m,1740888900.0,2.2558,2.2566,2.2434,2.2475,337733.26,0.0,0.0,0
15m,1740889800.0,2.2475,2.2492,2.239,2.2445,152413.9,0.0,0.0,0
15m,1740890700.0,2.2445,2.2527,2.2422,2.2488,189304.87,0.0,0.0,0
15m,1740891600.0,2.2488,2.2547,2.2414,2.2544,175733.02,0.0,0.0,0
15m,1740892500.0,2.2544,2.266,2.2517,2.2609,250895.17,0.0,0.0,0
15m,1740893400.0,2.2609,2.2838,2.2608,2.273,743308.01,0.0,0.0,0
15m,1740894300.0,2.273,2.2765,2.2623,2.2655,361436.98,0.0,0.0,0
15m,1740895200.0,2.2655,2.2692,2.2584,2.2595,414008.7,0.0,0.0,0
15m,1740896100.0,2.2595,2.2672,2.2532,2.2665,464050.46,0.0,0.0,0
15m,1740897000.0,2.2665,2.2745,2.2616,2.2744,268657.82,0.0,0.0,0
15m,1740897900.0,2.2744,2.2848,2.2701,2.284,464768.4,0.0,0.0,0
15m,1740898800.0,2.284,2.2983,2.2767,2.2812,561536.76,0.0,0.0,0
15m,1740899700.0,2.2812,2.2838,2.2731,2.2822,284050.5,0.0,0.0,0
15m,1740900600.0,2.2822,2.2834,2.2745,2.2795,319422.17,0.0,0.0,0
15m,1740901500.0,2.2795,2.2828,2.2732,2.2736,257587.18,0.0,0.0,0
15m,1740902400.0,2.2736,2.2849,2.2652,2.2661,616267.51,0.0,0.0,0
15m,1740903300.0,2.2661,2.2718,2.262,2.2659,1056557.78,0.0,0.0,0
15m,1740904200.0,2.2659,2.2679,2.2576,2.2629,300070.05,0.0,0.0,0
15m,1740905100.0,2.2629,2.2661,2.2551,2.2551,422430.31,0.0,0.0,0
15m,1740906000.0,2.2551,2.2623,2.2544,2.2619,386193.25,0.0,0.0,0
15m,1740906900.0,2.2619,2.2633,2.2523,2.2539,391128.88,0.0,0.0,0
15m,1740907800.0,2.2539,2.2683,2.2539,2.2644,326430.83,0.0,0.0,0
15m,1740908700.0,2.2644,2.2678,2.2608,2.2636,197112.15,0.0,0.0,0
15m,1740909600.0,2.2636,2.2652,2.2549,2.2591,372315.76,0.0,0.0,0
15m,1740910500.0,2.2591,2.2686,2.2584,2.2632,129285.94,0.0,0.0,0
15m,1740911400.0,2.2632,2.2683,2.2586,2.2637,148645.96,0.0,0.0,0
15m,1740912300.0,2.2637,2.2681,2.2615,2.2657,315728.13,0.0,0.0,0
15m,1740913200.0,2.2657,2.2668,2.2608,2.2654,108499.29,0.0,0.0,0
15m,1740914100.0,2.2654,2.2732,2.2618,2.2683,389843.22,0.0,0.0,0
15m,1740915000.0,2.2683,2.2799,2.2669,2.2794,345483.58,0.0,0.0,0
15m,1740915900.0,2.2794,2.2818,2.2743,2.2746,483554.15,0.0,0.0,0
15m,1740916800.0,2.2746,2.2753,2.2579,2.2611,681444.17,0.0,0.0,0
15m,1740917700.0,2.2611,2.274,2.2581,2.2673,449877.6,0.0,0.0,0
15m,1740918600.0,2.2673,2.2734,2.2667,2.2723,192470.97,0.0,0.0,0
15m,1740919500.0,2.2723,2.278,2.2686,2.2742,173369.54,0.0,0.0,0
15m,1740920400.0,2.2742,2.2742,2.2623,2.267,227681.74,0.0,0.0,0
15m,1740921300.0,2.267,2.267,2.252,2.2548,445139.21,0.0,0.0,0
15m,1740922200.0,2.2548,2.2576,2.2465,2.2545,499580.83,0.0,0.0,0
15m,1740923100.0,2.2545,2.2561,2.245,2.2557,444856.64,0.0,0.0,0
15m,1740924000.0,2.2557,2.2584,2.2464,2.2483,186806.5,0.0,0.0,0
15m,1740924900.0,2.2483,2.2486,2.2271,2.2428,597886.48,0.0,0.0,0
